Title,Detail_Page,Description,Source_website
THE ENERGY TRANSITION - A JUST TRANSITION OR ...,https://energyindaba.co.za/the-energy-transition-a-just-transition-or-a-fair-transition/,7 févr. 2023 — The energy transition—and the restructuring of global natural gas supply sources following the Russian invasion of Ukraine—are shaping the ...,
South Africa's Just Energy Transition Investment Plan,https://www.climatecommission.org.za/south-africas-jet-ip,"﻿South Africa's Just Energy Transition Investment Plan (JET-IP) · Creating quality jobs in new sectors like electric vehicles, green hydrogen, renewable energy, ...",
Just Energy Transition,https://www.climatecommission.org.za/just-energy-transition,The just energy transition focuses on the transition of South Africa's energy sector as the country navigates the shift away from coal towards cleaner ...,
Accelerating Green Energy Transition in Africa Through ...,https://saiia.org.za/wp-content/uploads/2020/09/Policy-Brief-216-adeniran-onyekwena.pdf,de A ADENIRAN · 2020 · Cité 2 fois — This brief examines the challenges towards green energy transition in Africa and the prospect of regional integration in fast-tracking this process. Regional ...,
Energy Transition - PARI,https://pari.org.za/energy-transiton/,The Energy Transition Programme's overarching goal is to contribute to the successful implementation of a Just Energy Transition (JET) in South Arica; ...,
Just Energy Transition (JET),https://www.eskom.co.za/about-eskom/just-energy-transition-jet/,Eskom's Just Energy Transition (JET) Office was established earlier in 2020 and has made significant strides to progress the evolution for transition ...,
South Africa's Just Energy Transition Investment Plan (JET ...,https://www.thepresidency.gov.za/content/south-africa%27s-just-energy-transition-investment-plan-jet-ip-2023-2027,Home | · South Africa's Just Energy Transition Investment Plan (JET IP) 2023-2027.,
A just transition depends on energy systems that work for ...,https://www.thefuse.co.za/go/eIEiGU4,"13 nov. 2022 — ... talking about a just and sustainable energy transition,” said Jessie Cato, natural resources programme manager at the Resource Centre.",
The first great energy transition: how humanity gave up ...,https://www.thefuse.co.za/go/eMHI0Er,"11 mars 2023 — Could this first great energy transition offer us clues, as the climate crisis forces us to grapple with giving up oil, in turn? Small rowing ...",
TIPS - Just Transition Portal,https://www.tips.org.za/just-transition,KEY FINDING / RECOMMENDATIONS: A just energy transition demands an integrated energy approach that is driven by protecting not only the environment but ...,
TIPS - Unlocking a just energy transition for SA,https://www.tips.org.za/just-transition/item/4101-unlocking-a-just-energy-transition-for-sa,"Unlocking a just energy transition for SA. SUMMARY: Professor Mark Swilling discusses the global renewable energy revolution, the public sector's role in ...",
Energy transition | Technical consulting | Services,https://www.ppaenergy.co.za/,We can support your organisation with scientifically robust and high quality approaches to energy transition to deliver you value across a wide range of ...,
Navigating the regulatory aspects of an Energy Transition ...,https://www.pwc.co.za/en/publications/navigating-regulatory-aspects-of-energy-transition-from-climate-change-perspective.html,An outline of South Africa's regulatory environment related to electricity. International law and policy driving the 'Energy Transition' and an overview of ...,
South Africa's just energy transition: moving from planning ...,https://www.pwc.co.za/en/press-room/south-africas-just-energy-transition-moving-from-planning-to-action-in-2023.html,The government recently launched its Just Energy Transition Investment Plan (JET IP) for an initial period of five years (2023-2027) at COP27.,
